mmsi,name,flag,type,is_suspicious,historical_names,latest_lat,latest_lon,latest_ais_timestamp,latest_speed,latest_heading,ais_ping_count,ais_active_pct,ais_max_gap_hours,ais_disabled,radio_signature_count,avg_frequency,std_frequency,avg_power,avg_signal_strength,unique_pulse_patterns,unique_frequencies
648657172,NAVIRE-7172,Denmark,Container Ship,True,"OLD_NAME_0, OLD_NAME_1",18.7845,73.8212,2026-09-06 00:02:00+00:00,14.9,352.1,4.0,50.0,4870.133333333333,True,4.0,160.8775,1.0654068080628492,164.375,-69.125,4.0,4.0
789983559,NAVIRE-3559,Singapore,Container Ship,True,"OLD_NAME_0, OLD_NAME_1",11.0169,-53.8078,2026-12-22 20:54:00+00:00,19.1,16.9,8.0,62.5,5987.533333333334,True,3.0,159.48666666666665,1.6800099206056256,183.1,-41.1,3.0,3.0
782905490,NAVIRE-5490,France,Passenger Ship,False,OLD_NAME_0,-81.7305,127.0778,2026-12-24 18:23:00+00:00,13.6,287.0,8.0,50.0,6659.983333333334,True,4.0,159.68,1.7122110461817155,214.8,-39.425,3.0,4.0
705561223,NAVIRE-1223,France,Fishing Vessel,True,"OLD_NAME_0, OLD_NAME_1, OLD_NAME_2",76.2401,-33.4588,2026-12-31 01:29:00+00:00,3.3,163.8,8.0,62.5,6863.45,True,9.0,159.53666666666666,1.6018504923993346,176.52222222222224,-79.0,5.0,8.0
613708156,NAVIRE-8156,Marshall Islands,Fishing Vessel,False,0,-23.4321,42.9974,2026-12-11 12:44:00+00:00,24.9,207.0,12.0,83.33333333333334,7268.433333333333,True,4.0,159.98250000000002,2.2210714381427183,296.05,-79.7,4.0,4.0
305441760,NAVIRE-1760,China,Fishing Vessel,False,"OLD_NAME_0, OLD_NAME_1, OLD_NAME_2",13.0457,3.6166,2026-12-15 14:37:00+00:00,17.2,307.7,8.0,37.5,7207.533333333334,True,5.0,157.748,1.063517747853783,139.2,-95.56,5.0,5.0
213740252,NAVIRE-0252,Panama,Tanker,True,"OLD_NAME_0, OLD_NAME_1, OLD_NAME_2",-42.1506,35.4183,2026-11-23 20:05:00+00:00,23.7,183.5,9.0,44.44444444444444,6294.516666666666,True,4.0,158.425,1.4008211877323815,338.575,-38.125,3.0,4.0
764353680,NAVIRE-3680,USA,Container Ship,True,"OLD_NAME_0, OLD_NAME_1, OLD_NAME_2",48.8635,-102.3793,2026-12-09 03:01:00+00:00,0.1,109.5,11.0,63.63636363636363,7822.766666666666,True,4.0,158.4575,2.409652464568278,100.07499999999999,-61.625,2.0,4.0
733723778,NAVIRE-3778,Denmark,Container Ship,True,"OLD_NAME_0, OLD_NAME_1",-68.945,-16.1763,2026-12-26 13:41:00+00:00,3.3,0.8,12.0,25.0,7065.966666666666,True,5.0,159.386,1.728577449812416,237.11999999999998,-88.6,3.0,5.0
247443252,NAVIRE-3252,Malta,Tanker,True,OLD_NAME_0,27.4181,89.9587,2026-12-06 08:03:00+00:00,28.4,263.7,6.0,50.0,4654.75,True,10.0,159.555,1.6800016534383397,246.94,-69.61,4.0,10.0
